project,desc,knowledge
numpy,"So creating a properly working `fastsearchsorted` and implementing a properly working `digitize` based on it seems like the way to go, even if it causes relatively large slowdowns for tiny sizes.",Performance Attributes
gensim,"To compute a matrix between **all** vectors at once (faster), you can use `numpy` or `gensim.similarities`.",Functionality & Behavior
scikit-learn,Arrays with non numeric dtype should raise an exception; possibly using `check_array` but that may have a negative performance impact.,Performance Attributes
tensorflow,"I'm aware that `tf.parse_single_sequence_example` is inefficient, but there is no equivalent to `tf.parse_example` for sequence examples.",Performance Attributes
pandas,I found a performance issue involving modifying `DataFrame` objects.,Performance Attributes
tensorflow,"We recommend using `tf.function`, as in increases performance and avoids these memory build-ups.",Usage Practice
numpy,"It uses `apply_along_axis` for multidimensional cases, which is not any faster than a Python loop.","Implementation or Internal Aspects, Alternatives"
tensorflow,I'm trying to understand if tf.where isthe only source of slowdown compared to your streamlined versions.,Performance Attributes
scikit-learn,"Maybe we can use ``scipy.special.expit`` instead, seems that it's much faster than our implementation.",Alternatives
tensorflow,I have run into into performance and portability issues with tf.conrtib.learn estimators that use high level feature columns and have done extensive code traversal to figure out a possible solution to make predictions faster.,Performance Attributes
scipy,"In this, I find that `convolve2d` is faster than the minimum time required for `fftconvolve` or `convolve`.",Alternatives
pandas,"This uses ``np.bincount`` rather than ``algos.unique`` to check _if_ there are unused levels: since levels indexes are adjacent integers, the former is faster (~50% in my tests).",Alternatives
pandas,"In many cases, using `append` to add rows is not the best way to go, as this is very inefficient (certainly if you do this in a for loop, each time taking a copy)",Usage Practice
gensim,"Also the `init_sims` which is ""freezing"" the model, so that its faster an smaller, is a good thing.","Functionality & Behavior, Performance Attributes"
pandas,"It's on by default, but turning it off is a performance improvement in case the index/inverse are immediately plugged together again (as is the case for `Series`/`DataFrame`).",Purpose & Rationale
scikit-learn,You should add a section in the LassoLars narrative documentation to quickly explain what AIC and BIC stand for and that `LassoLarsIC` can be used as a computationally cheaper alternative to `LassoLarsCV` to find the optimal value of alpha by computing the regularization path once instead of `k` times when using `LassoLarsCV(cv=k)`.,"Alternatives, Functionality & Behavior"
pandas,see above commit...added a new cython function that's about 25% faster than np.vectorize and gets the types right.,Alternatives
gensim,But calling `logaddexp` many times would be slower than using an already populated table to get those values IMO.,"Usage Practice, Alternatives"
tensorflow,"I'm not entirely sure that makes sense, though, because it *might* have performance consequences to copy large tensors from `tf.Variable` objects into NumPy arrays.",Performance Attributes
pandas,`Timestamp` is a performant replacement that is feature-full like `datetime.datetime` and performant like `np.datetime64`,Alternatives
numpy,"Timed it, looks like it's about 2-3x faster than my original algorithm for  `np.random.rand(30000,2000)`",Alternatives
scipy,``SuperLU`` does not have a special function to solve systems with triangle matrices and my proposed function is faster than the general solve ``function`` from ``SuperLU``.,Alternatives
pandas,"People relying on `.values` for datetime aware series, should already be aware of the current output and have to work around its limitations (eg save metadata to faithfully recreate the series again), just as they will have to do with the new output of an object array (eg convert to datetime64 array any way if it is for performance sensitive code), but only in a different way, and keeping both ways if they want to support multiple pandas versions.",Usage Practice
numpy,@shoyer - my attempts to make `__array_ufunc__` faster included a merger of inputs and outputs into a single list - which would make the collection stage (even) more similar.,Purpose & Rationale
scikit-learn,"> that the .sign() method would be optimized and therefore faster, however",Misc
gensim,"That said, there's no surprise that ""2nd way"" is slower - every call to `train()` will iterate over your corpus multiple times per the value of the model's `iter` parameter (default 5).","Performance Attributes, Functionality & Behavior"
numpy,There is a benchmark that shows that `inner` now sees the `syrk` speedup.,Performance Attributes
gensim,"If performance is a concern, SCM can be computed in a single step by computing `q^T * S * C`, where `q` is the normalized query vector, `S` is the term similarity matrix, `C` is the normalized term-document matrix of the corpus, and 闂佽法鍠庨～鏇㈠磿閺屻儲鏅哥紒宸磸malized闂?in this context stands for a vector `v` being divided by `sqrt(v^T * S * v)`.",Usage Practice
tensorflow,I am trying to add @tf.function for performance enhancement reasons to my custom training code in Tensorflow 2.0.,Usage Practice
numpy,"Poking around at various array sizes it seems like MKL `sincos` offers maybe a 20% speedup over MKL `sin` and `cos`, while numpy `sin`/`cos` is 10x slower for largeish inputs on my machine.",Alternatives
pandas,"But it _seems_ like we can just `astype` the converted string to the new length, which is quite a bit faster.",Alternatives
scipy,"I assume inv() does a Gaussian elimination (I haven't verified this), whereas cho_factor exploits the necessary condition that the covariance matrix must be symmetric and positive-definite and, while it'll still take O(N^3) operations asymptotically, it is about a factor of two faster.","Alternatives, Implementation or Internal Aspects, Performance Attributes"
gensim,"Not the most rigorous test there is, but we can see ~10% speedup with both `scan_vocab` and the iterator cythonized...",Performance Attributes
scikit-learn,`pairwise_distances` slower with `n_jobs>1`) will probably also apply here.,Performance Attributes
pandas,In some quickie timings (1000 rows and 2 columns) it is just a little slower than cumsum() and much faster than expanding().count().,Alternatives
pandas,infer_dtype() function slower in latest version,Performance Attributes
pandas,At least with `days_in_month` getting similar performance both ways,Alternatives
pandas,Added benchmarks and optimized `.apply` to not use inefficient looping.,Purpose & Rationale
scikit-learn,":-( It is to be expected that `NearestNeighbors.radius_neighbors` is 2x slower than the distance matrix, but the savings inside the `while(len(candidates) > 0)` may be negative in the worst case.","Performance Attributes, Implementation or Internal Aspects"
pandas,"When searchsorted is used (eg as `labels.searchsorted(loc)`), it is important that `loc` is first cast to the same dtype as `labels` for performance reasons.",Implementation or Internal Aspects
scikit-learn,"- is much smaller and less nested in code, and should be faster in some cases, taking advantage of `LabelEncoder` to use `bincount` (and building upon vectorized multilabel support in #1985, #1987).","Performance Attributes, Implementation or Internal Aspects"
scikit-learn,manhattan_distances is much slower than scipy.spatial.distance.cityblock,Alternatives
tensorflow,**Update**: I see no performance benefit from using `tf.data.Dataset` on Numpy arrays; they're even.,Performance Attributes
pandas,- `nth` is a fair bit slower than `first/last` which are calling cython routines.,Alternatives
tensorflow,tf.function decorator with GradientTape >10x slower than tf.keras.model.Models.fit(),Alternatives
scipy,Massive performance regression in cKDTree.query with L_inf distance in scipy 0.17,Performance Attributes
numpy,"I achieve the same speedup by special casing this in ma.asarray(), but I feel that change deserves a separate issue.",Implementation or Internal Aspects
scipy,"A voice at the back of my head says `dok_matrix` should be rewritten in C++ for better performance and more operations, but I'll leave that for some other time.",Misc
scikit-learn,> the sklearn custom solution appears to be faster than np.permutation when ratio,Alternatives
numpy,"Since calls to `digitize` cannot be vectorized in any way without a `for` loop, I find it hard to believe that a slowdown of 1us is going to turn into a bottleneck for anyone.","Performance Attributes, Implementation or Internal Aspects"
pandas,It might be tricky to match the 25x speedup for the `Series` case that #23814 was able to achieve by eliding all safety checks.,Misc
tensorflow,"After this PR, I intend to address other sources of non-determinism before returning to implement a deterministic `bias_add` solution at the CUDA kernel level for higher performance TF determinism when running on GPUs.",Misc
pandas,"As I was curious to see the benefits, I compared them both and, to my surprise, the performance of `lib.map_infer` was slightly poorer than with `np.vectorize()`, perhaps by about 5-10%.",Alternatives
scikit-learn,"I'll close this, but I suggest deleting `predict` as it's slower than `apply` with `take`; or else use `memcpy` in it and you'll probably get similar performance.",Alternatives
scikit-learn,"My implementation for `multilabel_confusion_matrix` in the multilabel case is slightly faster, but in multiclass and binary case, it is exactly the same as P/R/F/S, and it will be even slower with some checking overhead.",Performance Attributes
tensorflow,"I have run the code above, it seems separable_conv is faster than the normal one in this form, but when I use tf.nn.separable_conv2d or tf.keras.layers.SeparableConv2d, the separable one still lower than the normal method, what's wrong with it?",Alternatives
tensorflow,"It looks like `fit_generator` is incorrectly falling back to the eager path, which is why training is slower.","Implementation or Internal Aspects, Purpose & Rationale"
scipy,"In any situation where query time matters, building a new `cKDTree` from is three to four orders of magnitude faster than doing the actual query.",Alternatives
scikit-learn,The rationale is to use  `abs_r_regression`  as a faster regressor compared to `f_regression`.,Purpose & Rationale
numpy,"`np.greater_than.count(a, b)` might be faster than `count_nonzero(a >= b)` since it avoids the temporary boolean array.",Alternatives
scikit-learn,"Hmm, `np.dot` is faster on Debian too, but the tests don't work anymore with OpenBLAS.",Environment
numpy,"I've made a new version of select() which works with large numbers of conditions, and which outperforms numpy.select for my use case.",Misc
tensorflow,"To save memory, you could wrap a sequence of `_x` calls in `recompute_grad` (but include too many and the recomputation of the gradient will take as much memory as the model would have otherwise).",Usage Practice
scipy,"This PR should also yield minor speedups by using the `return_inverse` flag of `np.unique`, instead of constructing the inverse indices manually.",Implementation or Internal Aspects
scikit-learn,`OrthogonalMatchingPursuitCV` would be an object to do cross-validation efficiently based on `omp_path`.,Functionality & Behavior
gensim,"I wrote this up very quickly, but so far the performance seems much much faster than `scan_vocab`, with much better memory use.",Alternatives
scikit-learn,"You then would need to do `.infer_objects()` to convert the numerical features to actual numerical columns, which is a bit annoying that the user needs to do this (and also inefficient).","Functionality & Behavior, Performance Attributes"
numpy,"Otherwise, users will start using this as an alternative to `np.nonzero(v == a)` (for scalar `a`) and be surprised when it's slower.",Purpose & Rationale
scikit-learn,"The `DictVectorizer` doesn't win, it's slower, even on the small set.",Performance Attributes
tensorflow,"Using `with tf.device(""/cpu:0"")` is much faster.",Alternatives
numpy,"Experience with scikit-learn showed that `einsum` can be a major time and memory saver in norm computations, so here's an attempt to apply the recipe in NumPy as well.",Performance Attributes
pandas,"Ugh, `iteritems` for all DataFrames has borked performance.",Performance Attributes
numpy,"I should point out, that on a glibc system, this is actually slower than the `float64` path in `np.linalg.norm` for the `inf` norm until you get to very large blocks of vectors.",Alternatives
tensorflow,I'm trying to improve performance by moving to `tf.data.Datasets` to manage epochs and minibatches (particularly I/O performance on a GPU when I come to scaling up).,Usage Practice
pandas,"Looks like the follow-up (short-circuit a bunch of isinstance calls, lose `__ne__` overhead) gets another 2.8x speedup",Implementation or Internal Aspects
pandas,"  - E.g., `x = 3; y = 2; pd.eval('x // y', engine='python')` is 1000 times slower than the same operation in actual Python.",Usage Practice
scikit-learn,"It would be easier/faster to add `max_depth`, `min_samples_split` and `min_samples_leaf` options directly to the `apply` and `predict` method of `Tree`.",Misc
tensorflow,have a project based on evolutionary algorithm that creates many instances of tf.layers.Conv2D for fitness evaluation and over time entire process slows down.,Performance Attributes
numpy,"I looked into this some time ago, and ended up giving up: in all its generality, there's no easy way out of the current slowness of `ufunc.at`.",Performance Attributes
tensorflow,"running tf.while_loop 100k times, can bring the speedup factor to about 30x on this reference hardware, especially for real images where pixels' hues are spatially correlated (which reduces GPU warp divergence in the RGB-to-HSV part of the kernel).",Environment
tensorflow,This can currently be avoided by using `tf.add` instead of `tf.nn.bias_add` at a slightly performance hit.,Alternatives
gensim,"I think my crude early tests (just concatenating sets of 10+ texts without code changes) were likely plain DBOW Doc2Vec (with no word-training and thus no 'window' of any kind) 闂?so the NN-examples were again `len(sentence)`, meaning relatively brief no-GIL sessions, and thus good chances for speedup from batching.",Misc
scikit-learn,"(by reimplementing np.take, basically) doesn't appear to make it faster.",Implementation or Internal Aspects
pandas,The caveat on the above is that this speedup is only when creating a `PeriodArray` directly from integers.,Performance Attributes
pandas,- Remove a block that is not hit after the `DatetimeIndex.normalize` performance upgrades https://github.com/pandas-dev/pandas/pull/23634,Misc
tensorflow,"And as of now I'm getting better performance using tf.function(55.secs) as compared to tf.keras .fit(64.8 secs), probably because .fit does some initialization before training starts.",Alternatives
pandas,Using `set_value` in the third example is more than 15 times faster than using `loc` in the forth and the fifth exmple!,Alternatives
numpy,ENH: Increase numpy.average performance mentioned in #5507.,Misc
scikit-learn,"They should do `%timeit pairwise_distances(a,b, 'euclidean', metric_params={'squared': True})` and their speedup wouldn't be as good :)",Usage Practice
numpy,"It'd certainly be nice to have better summation algorithms available as an option, but `np.sum` is unlikely to ever use them by default given the performance cost.",Purpose & Rationale
tensorflow,"Another potential work-aroundxa0is to use `tf.map_fn` + `tf.clip_by_value`, but it is orders of magnitude slower.",Alternatives
tensorflow,tf.nn.embedding_lookup  poor performance,Performance Attributes
numpy,"For reference, numba's implementation of `searchsorted()` is a little faster than bisect:",Alternatives
pandas,"The existing `.difference` method 'unboxed' all the objects, which has a severe performance impact on `PeriodIndex` in particular.","Functionality & Behavior, Performance Attributes"
numpy,"This improves np.array(ndarray, copy=False) performance by about a",Misc
tensorflow,"tf.train.Server.create_local_server  has two problems :1)performance drop 2 times compare to without it,2) gpu memory fraction limitations fails.",Performance Attributes
pandas,"But grouping by `pandas.Period` objects is about 300 times slower than grouping by other series with `dtype: object`, such as series of `datetime.date` objects or simple tuples.",Usage Practice
scikit-learn,That would make it possible to use the new KD-tree which can be faster than `BallTree` depending on the data.,Purpose & Rationale
scikit-learn,"I'm surprised that `predict_proba` is faster... looking at the source of `stats.mode`, however, I can see why that would be.",Performance Attributes
gensim,"`Phraser` takes a bunch of extra time to create, but then is *slightly* faster but *much more compact*.",Performance Attributes
tensorflow,"This PR aims to add `MatchingFilesDatasetOp` to improve the performance of `Dataset.list_files`, which needs to scan the entire directory tree and load the filenames into memory before the next operation starts.",Purpose & Rationale
pandas,"I noticed there was a `strftime` documented at least on PeriodIndex which might be useful, though I don't think performance was all that great",Performance Attributes
numpy,benchmarks 2.5x faster than np.select(),Alternatives
pandas,Based on my testing it seems this unfortunately isn't `PeriodArray` specific but instead a more general performance issue due to some unnecessary `DataFrame` creation when calling `pd.concat()` on only `Series` objects - I have a simple fix for one hot spot and am chasing down another now.,Implementation or Internal Aspects
gensim,"In general, it seems to me that this is not a very good addition because this didn't make possible something useful (this didn't used by gensim models + I showed an alternative way, how to retrieve `tf` & fill `Dictionary` in one pass), but degrades performance.",Purpose & Rationale
numpy,I noticed that the uncentered case was not faster and this was due to this unecessary copy being made in `np.roll`.,Implementation or Internal Aspects
pandas,"@wesm @giulianoamantini See also #14551, one-line change brings `loc` (for this specific case) almost back to performance of 0.12",Performance Attributes
gensim,"You'd want to look through the `word2vec.py` file for references to `model.window` to enhance the (seldom-used but retained for instructive purposes) window-handling in the pure-Python paths, and the `word2vec_inner.pyx` (cython) file for `model.window` and `window` to enhance the (performance-critical) window-handling in the cython implementations.",Usage Practice
tensorflow,"The example in [tensorflow/models/neural_gpu/neural_gpu.py](https://github.com/tensorflow/models/blob/master/neural_gpu/neural_gpu.py) indicates that one can use the manual `tf.contrib.compiler.jit.experimental_jit_scope` context creator, using this causes a x6 times performance peanality compared to not using XLA, but does scale with multiple GPUs.","Usage Practice, Environment"
scikit-learn,"For instance, this makes `Ridge(fit_intercept=False)` around 10% faster on the following dataset,",Misc
scipy,PERF: improves performance in stats.kendalltau,Misc
scikit-learn,For speedup on `LogisticRegression` I use `LogisticRegressionCV` (which at least 2x faster) and plan use `GridSearchCV` for others.,Alternatives
gensim,"I replaced `True` flag to `per_word_topics` for significant speedup `get_document_topics` for case `per_word_topics=False` (this effect is clearly visible if you use LdaModel with ~180 topics and 700k+ dictionary, i.e.",Performance Attributes
pandas,I think it increases a performance of `inferred_freq` for tz-aware data a bit.,Implementation or Internal Aspects
numpy,This function accelerates the benchmarks for `np.pad` by a factor of,Misc
gensim,"I see only 5% speedup (because this method doesn't consume 50% of the time, the slowest method is `dirichlet_expectation` around 40% of all time), but that's good optimization too:+1:",Performance Attributes
numpy,"matplotlib.pyplot.xcorr has a maxlag argument, but it is just a wrapper for numpy.correlate, so it doesn't get any performance benefits because it ends up calculating the entire cross-correlation and then throwing part away before returning to the user.","Implementation or Internal Aspects, Functionality & Behavior"
scipy,The pairwise distances implemented in scipy.spatial are faster than the ones implemented in Rbf.,Alternatives
scikit-learn,The performance difference between using `dot` vs. using `nrm2` is an order of magnitude.,Alternatives
scipy,The inefficiency here arises from scipy's `spsolve` converting format from DIA to CSC: https://github.com/scipy/scipy/blob/c83f0df667a329c66320cfd0ebe777ac677cdebe/scipy/sparse/linalg/dsolve/linsolve.py#L130,Implementation or Internal Aspects
numpy,"You will never achieve bincount speeds, but I would not be suprised by a factor of 5-10 faster for ufunc.at.",Performance Attributes
scipy,"With the improvement in hypergeom.cdf and the better bounds for ppf, .interval in the original case of this ticket is about 1000 times faster now than in scipy 0.9",Performance Attributes
scipy,"But that's the goal, to enable faster vectorization of the existing `scipy.optimize.brentq` and other `zeros` by using Cython.",Misc
gensim,"My testing has so far been limited to an MBP where going from 1 to 4 workers has given the expected speedup, the FAST_VERSION reports as '0' (doubles), and the scipy.show_config() info is similar to the above MacPro and MBP reports.",Environment
scikit-learn,a quick comparison shows that it's ~10x slower than `1 - scipy.spatial.distance.cosine`...,Alternatives
scipy,scipy.signal.convolve is slower when vectorized,Performance Attributes
pandas,"this is user error; you  are performing a mean on a series, yielding a scalar (a float), so you need to use ``np.round`` like this (not that what you are doing is quite inefficient any any event by using a function ,rather than builtins).",Usage Practice
scikit-learn,"I would experiment with the switch to precision matrix first and run benchmarks (both for `fit`, which should not be impacted significantly and for `score_samples` should should be much faster because we could skip the call to inverse the covariance matrices to precision matrices to compute the likelihoods).",Purpose & Rationale
tensorflow,"* @ahundt: From our initial experiments, the *peak* performance of the benchmark input pipeline is still slightly higher than what you get from using the `tf.contrib.data` API.",Alternatives
scipy,inefficient median calculation in scipy.stats.binned_statistic_dd,Implementation or Internal Aspects
scipy,"It is possible to improve the performance of `scipy.stats.ks_2samp` by cythonizing the loop, rather than by relying on (a slightly wasteful) searchsorted.",Implementation or Internal Aspects
numpy,"Since I have the code almost ready, I'll add the type specific `searchsorted` as a separate PR, but unless I can trim some extra fat from that code to make it get going faster, the `bindigitize` in this PR seems like the right replacement for `digitize`.",Alternatives
scipy,"This function really ought to be implemented by numpy.histogram() which is much, much faster.",Performance Attributes
pandas,I believe this would yield a similar speedup for `DataFrame`s but we don't have any benchmarks explicitly testing as such.,Misc
numpy,It should not be much more that 20%-30% overhead and it seems a lot of that actually originates from a np.where inefficiency that can be fixed.,Performance Attributes
pandas,I am doing lots of computations on data with ``groupby().apply()`` and I have sped up the function quite a bit by accessing the raw numpy arrays where possible.,Usage Practice
scipy,"In addition, there are situations where the `np.ndarray` approach is orders-of-magnitude slower.",Performance Attributes
pandas,"At a minimum, I think `.astype('dtype_name')` where dtype_name is in our registry, should work, even if it's inefficient.",Performance Attributes
scipy,"`sum`is a little slower when the minor size is small, but I've seen it cut off half the time when large.",Performance Attributes
numpy,"Only when the arrays get really big ~100,000 the difference becomes basically negligible with `dot(s, a)` maybe being the tiniest bit faster, but its too close to say or probably matter.",Alternatives
pandas,"Note that it is actually the ""just change to use `to_numpy()`"" that has the performance implications (eg object dtype or not).",Performance Attributes
pandas,For long series and many categories 'Series.isin()' is slower for `categorical` data rather than for `int64`.,Performance Attributes
numpy,For small haystacks the linear search of `digitize` is still 2x faster than the improved `searchsorted`:,Alternatives
scikit-learn,Scenario 2 can be computed very efficiently for the mean without for loop using tricks such as np.diff(X.indptr).,Usage Practice
gensim,"That the `train_batch_cbow()` cythonized function trains the entire batch inside one `noGIL` block could be a big contributor to the speedup, yes.",Implementation or Internal Aspects
scipy,"A quick comparison of the proposed custom ""vectorized"" newton versus using `np.vectorize` to wrap the existing one, shows a **20x speedup** for solving a [one-diode solar-cell analog using Shockley's diode equation](https://en.wikipedia.org/wiki/Theory_of_solar_cells#Characteristic_equation) with 100 simultaneous orthogonal points.","Alternatives, Usage Practice"
scipy,"Well, if it's a consistent speedup also without `mkl-fft` and the accuracy is fine, then we can replace the implementation of the existing function(s) I'd say.",Alternatives
gensim,Optimise LdaModel.show_topics performance to only call get_lambda once,Misc
scipy,"For example, integrate.quad can take ctypes callables and skip overheads (which we use in Scipy's elliptic harmonic special functions for significant speedup).",Purpose & Rationale
pandas,#20703 recovers the performance drop by just making ``MultiIndex.remove_unused_levels`` more performant when there are no unused levels.,Misc
scikit-learn,I don't know if Windows has the same constraints where plain-old fancy indexing (which is slower than `take`) is used.,"Alternatives, Environment"
numpy,"From what I have tested, it is faster than scipy's generic_filter: e.g., 5x5 median filter ignoring NaNs (with numpy.nanmedian) on 500x500 float image: with filtergrid it takes about 600ms while generic_filter takes about 16s.",Alternatives
scipy,ENH: faster circumcenter calculation in spatial.SphericalVoronoi,Misc
scikit-learn,FYI: I am working on a new approach to efficiently deal with shared memory with `joblib.parallel` / `multiprocessing` and `numpy.memmap` here: https://github.com/joblib/joblib/pull/44,Misc
pandas,.replace() with a dict about 60x slower than .map().fillna(),"Alternatives, Performance Attributes"
scipy,signal.fftconvolve 10闂?slower than custom real convolution,"Alternatives, Performance Attributes"
gensim,Fix method `estimate_memory` from `gensim.models.FastText` & huge performance improvement.,Misc
numpy,faster version: np.isnan(np.min(arr)),Alternatives
pandas,Selecting on a ``CategoricalIndex`` is 100x slower than selecting on a normal ``Index``.,Alternatives
numpy,@wesm my benchmarks in #9450 still show very poor performance for `take` with recent numpy.,Performance Attributes
numpy,This explains the slowdown that we see with einsum (with the additional factor of ~3.5 accounting for the improvement over `einsum(optimize=False)` when blas is dispatched).,Performance Attributes
scikit-learn,They all belong to the same idea: make kPCA much faster by adding the randomizedSVD solver (that is already available in the `PCA` class).,Purpose & Rationale
gensim,"No parallelism yet, but should already be much faster than the previous `Similarity`.",Misc
scikit-learn,"[fwiw, `ndarray / ndarray` should be faster than `np.divide(a, b)` at least in terms of not needing attribute lookups.]",Alternatives
scipy,*  `np.isnan(np.max())` or `np.isnan(np.min())` are slightly faster but fail for empty arrays.,Usage Practice
pandas,"There are other ways to squeak out more performance (moving isnull(obj) into cython for example), but given that assert_almost_equal() isnt' that much of a bottleneck I err-ed on the side of maintaining readability instead of converting everything into cython.","Implementation or Internal Aspects, Purpose & Rationale"
scipy,"In my use-case (relatively huge, complex arrays), `sp.linalg.norm` was not faster than `np.linalg.norm`, so I tried the numba approach.",Alternatives
scikit-learn,"At https://github.com/scikit-learn/scikit-learn/pull/9597#issuecomment-424379575, @TomDLT pointed out that argmax of `predict_proba` is faster than the current `predict` implementation.","Alternatives, Implementation or Internal Aspects"
pandas,@jreback I noticed a codepath asymmetry in core.frame.count that leads to a substantial difference in dropna() performance depending on the axis.,Implementation or Internal Aspects
scipy,"As is, it is similar or faster than `fftn` for real-valued inputs and a bit slower for complex-valued ones:",Alternatives
scikit-learn,Do you have an idea why the indexed arrays strategy is slower than np.array_split?,Alternatives
scipy,I would strongly recommend testing linalg.lobpcg to check if it outperforms linalg.eigsh,Alternatives
tensorflow,"However, even when I use my GPU (Quadro P5000), the IFFT2D is still slower with `tf.signal.ifft2d` than with `np.fft.ifft2d` wrapped (don't know if it's supposed to make a big difference), but faster than on CPU.","Alternatives, Environment"
pandas,"We ran a profiler comparing both the .ix and .loc methods for pandas, in both versions, and got substantially slower results when using 0.16.2.",Performance Attributes
pandas,"I get great performance when I use the int64 indexing `pd.read_hdf('df',where=Int64Index([2,3,4])` with say 100 different index values.",Performance Attributes
pandas,"Concerning `GroupBy.apply`, there seems to be just a slight performance regression of up to 30 % slower performance, as indicated in my earlier comment.",Performance Attributes
scipy,"Probable culprit is column ordering algorithm, as `spsolve(A, b, permc_spec=""MMD_AT_PLUS_A"")` gives somewhat better performance than the default value.",Purpose & Rationale
scipy,"I think the use of a length-limited `deque` is responsible for the speedup in `kmeans`, but I haven't confirmed that by profiling.",Implementation or Internal Aspects
pandas,- the standard way as of now to (inefficiently) obtain the same result is precisely ``mi.get_level_values(level).unique()``,Usage Practice
gensim,"This means that running `LdaMulticore` with `workers=5` on a six-core machine ends up trying to use 30 cores, with a pretty serious hit to performance.","Performance Attributes, Environment"
numpy,"However, This is no longer faster than just calling `abs(arr).max()` when the BINARY_LOOP path is taken.",Alternatives
tensorflow,"I'm currently working on adding batched parameters to tf.truncated_normal, but currently it's significantly slower than the current implementation (with hard-coded parameters).",Alternatives
gensim,"IMO `Phrases` need a proper rewrite (both for performance and for cleaning up the logic, the API).",Misc
tensorflow,The current code is using  tf.contrib.eager.defun to boost performance.,Purpose & Rationale
scipy,"Starting with input array lengths in the tens of thousands, `scipy.signal.hilbert` is orders of magnitude slower when operating on odd-length arrays compared to even.",Performance Attributes
numpy,Mean is slower than reduce(add),Alternatives
pandas,This PR speeds up MultiIndex.from_product employing the fact that operating on categorical codes is faster than on the values themselves.,Alternatives
numpy,linalg.svd is slower than naive implementation,Alternatives
pandas,"I am willing to tackle it but wanted to check on the status first, since it appears that it's going to make the `to_datetime` interface a bit more complicated and may give only a modest performance boost at this point.",Performance Attributes
scikit-learn,"In practice, this makes `StandardScaler().fit_transform` 10%-20% faster on the few examples I have tried.",Performance Attributes
pandas,"`rolling(...).apply(..., engine='Numba')`) as a potential significant performance boost",Misc
gensim,"(Also noted in my forum reply: that calling `infer_vector()` from multiple threads, or better yet multiple processes all loaded with the same model, would also offer speedups.)",Usage Practice
tensorflow,Calls to `tf.keras.Model.fit()` run slower and slower the more there have been.,Performance Attributes
